Student,Final Exam Score,Final Exam Denominator,Project 1 Weighted,Project 2 Weighted,Project 3 Weighted,Project 4 Weighted,Project 5 Weighted,Project Total Numerator,Project Total Denominator,Hard Work 1,Hard Work 2,Hard Work 2.2,Hard Work 3,Hard Work 3.2,Hard Work 7,Hard Work 8,Hard Work 9,Hard Work 9.2,Hard Work 11,Hard Work 12,Hard Work Subtotal Numerator,Hard Work Subtotal Denominator,Attendance Weighted Grade,Attendance Subtotal Denominator,Calculated Final Grade Numerator,Calculated Final Grade Denominator,Final Letter Grade
1,16.2,20,4.625,5,5,4.625,5,24.25,25,3.333333333,2.008032129,,3.333333333,3.333333333,,0,0,0,0,0,12.00803213,30,22.5,25,74.95803213,100,C
2,9.8,20,3.5,3.75,0,0,0,7.25,25,3.333333333,3.333333333,,2.820512821,3.333333333,,3.333333333,1.481481481,1.666666667,1.666666667,3.333333333,24.3019943,30,25,25,66.3519943,100,D
3,13.28,20,5,5,4.5,4.5,5,24,25,3.333333333,3.333333333,,3.333333333,3.333333333,,2.5,3.333333333,3.333333333,3.333333333,3.333333333,29.16666667,30,25,25,91.44666667,100,A-
4,12.28,20,4.75,5,4.5,4.25,5,23.5,25,3.333333333,3.293172691,,3.333333333,3.333333333,,3.333333333,3.148148148,3.333333333,2.575757576,1.8,27.48374508,30,25,25,88.26374508,100,B+
5,13.64,20,4.75,5,5,4.5,5,24.25,25,3.333333333,2.931726908,,3.269230769,2.7,,2.651515152,3.055555556,3.111111111,2.876666667,2.733333333,26.66247283,30,25,25,89.55247283,100,B+
6,20,20,5,5,5,5,5,25,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,30,30,25,25,100,100,A
7,12.36,20,4.125,5,4.5,4.25,4.75,22.625,25,3.333333333,1.445783133,,2.307692308,3.333333333,,3.106060606,2.222222222,2,2.566666667,2.666666667,22.98175827,30,23.75,25,81.71675827,100,B-
8,3.52,20,0,0,0,0,0,0,25,3.333333333,1.004016064,,1.923076923,0,,0,0,0,0,0,6.260426321,30,15,25,24.78042632,100,F
9,11.52,20,3.625,5,4.5,0,5,18.125,25,3.333333333,3.293172691,,3.333333333,3.333333333,,3.333333333,2.407407407,3.333333333,2.727272727,3.333333333,28.42785283,30,25,25,83.07285283,100,B
10,17.56,20,5,5,5,5,5,25,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,30,30,25,25,97.56,100,A
11,12.64,20,4.5,1.25,4.25,3.875,3.75,17.625,25,3.333333333,2.008032,,2.243589667,3.209876543,,3.03030303,3.148148148,3.111111111,3.03030303,0,23.11469686,30,22.5,25,75.87969686,100,C
12,14,20,4.5,5,4.75,4.25,4.75,23.25,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,2,2.5,2.99,27.49,30,24.75,25,89.49,100,B+
13,16.56,20,0,5,0,0,0,5,25,3.333333333,3.333333333,,0,3.333333333,,0,0,0,0,0,10,30,21.25,25,52.81,100,F
14,11.64,20,4.5,5,4,4.375,5,22.875,25,3.333333333,2.489959839,,3.333333333,2.962962963,,3.333333333,0,2.888888889,0,1.266666667,19.60847836,30,24.75,25,78.87347836,100,C+
15,15.02,20,5,5,5,4.625,5,24.625,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,30,30,25,25,94.645,100,A
16,19.58,20,5,5,5,4.5,4.25,23.75,25,3.333333333,2.168674699,,3.333333333,3.271604938,,3.21969697,1.666666667,3,2.5,2.2,24.69330994,30,25,25,93.02330994,100,A
17,14.08,20,5,5,5,4.5,5,24.5,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.148148148,3.333333333,3.333333333,3.333333333,29.81481482,30,25,25,93.39481482,100,A
18,18.24,20,5,5,5,5,5,25,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,30,30,25,25,98.24,100,A
19,14.72,20,5,5,5,4.625,5,24.625,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,3.333333333,2,28.66666667,30,25,25,93.01166667,100,A
20,16.28,20,4.625,4.5,5,4.75,5,23.875,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,1.666666667,3,3.333333333,28,30,21.25,25,89.405,100,B+
21,16.56,20,4.75,5,5,5,5,24.75,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,30,30,24.5,25,95.81,100,A
22,13.64,20,4.75,5,4.5,4.25,5,23.5,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,3.333333333,2.933333333,29.6,30,21.25,25,87.99,100,B+
23,16.6,20,5,5,5,5,5,25,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,30,30,25,25,96.6,100,A
24,15.2,20,5,5,5,4.5,5,24.5,25,3.333333333,3.13253012,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,29.79919679,30,25,25,94.49919679,100,A
25,12.8,20,4.25,5,4.75,4.25,4.5,22.75,25,3.333333333,1.40562249,,3.269230769,3.209876543,,3.181818182,3.333333333,3.333333333,3.333333333,1.6,25.99988132,30,25,25,86.54988132,100,B
26,16.56,20,4.5,4.5,4.5,4.5,5,23,25,3.333333333,3,,3.333333333,3.333333333,,3,3.333333333,3.333333333,3,3,28.66666667,30,22.5,25,90.72666667,100,A-
27,16.16,20,4.75,5,4.25,4.25,5,23.25,25,3.333333333,2.690763052,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,3.333333333,3.133333333,29.15742972,30,25,25,93.56742972,100,A
28,15.4,20,5,5,5,4.25,5,24.25,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,3.333333333,0.833333333,27.5,30,25,25,92.15,100,A-
29,7.84,20,4.5,1.25,2.75,3.75,5,17.25,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,3.333333333,3.066666667,29.73333333,30,21.25,25,76.07333333,100,C
30,11.28,20,4.75,5,4.25,4.5,4.75,23.25,25,3.333333333,3.033333333,,2.820512821,3.086419753,,3.266666667,3.333333333,2.444444444,2.803030303,2.333333333,26.45440732,30,25,25,85.98440732,100,B
31,13.76,20,5,5,4.5,4.375,4.75,23.625,25,3.333333333,2.771084337,,3.173076923,3.333333333,,3.333333333,3.333333333,2.888888889,3.181818182,2.8,28.14820166,30,25,25,90.53320166,100,A-
32,9.36,20,0,0,0,0,0,0,25,3.333333333,0,,0,0,,0,0,0,0,0,3.333333333,30,23.75,25,36.44333333,100,F
33,14.84,20,4.9375,5,4.25,4.25,5,23.4375,25,3.333333333,3.253012048,,3.333333333,2.962962963,,3.333333333,3.333333333,3.333333333,3.106060606,3.133333333,29.12203562,30,25,25,92.39953562,100,A-
34,15.44,20,4.5,5,5,4.625,4.75,23.875,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,30,30,25,25,94.315,100,A
35,17.56,20,4.25,5,4.25,4.625,5,23.125,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,2.878787879,3.333333333,29.54545455,30,23.75,25,93.98045455,100,A
36,12.04,20,5,5,5,4.625,5,24.625,25,3.333333333,2.429718876,,3.076923077,3.333333333,,2.462121212,3.148148148,2.666666667,3.333333333,3.333333333,27.11691131,30,25,25,88.78191131,100,B+
37,13.84,20,4.75,5,4.75,4.375,4.75,23.625,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.148148148,3.333333333,3.257575758,3,29.40572391,30,25,25,91.87072391,100,A-
38,20,20,5,5,5,5,5,25,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,30,30,25,25,100,100,A
39,15.56,20,5,5,5,5,5,25,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,30,30,25,25,95.56,100,A
40,18.32,20,4.8125,5,5,4.25,5,24.0625,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,30,30,24.75,25,97.1325,100,A
41,13.2,20,4.75,3.75,5,4.5,5,23,25,3.333333333,1.204819277,,2.564102564,2.222222222,,1.893939394,1.944444444,2,0,2.2,17.36286124,30,23.75,25,77.31286124,100,C+
42,14,20,4.875,5,4.75,4.25,5,23.875,25,3.333333333,1.365461847,,0.641025641,2.345679012,,2.045454545,1.666666667,2.444444444,1.515151515,1.2,16.55721701,30,25,25,79.43221701,100,C+
43,10.84,20,4,3,4.25,4.5,4.5,20.25,25,3.333333333,3.253012048,,2.948717949,3.333333333,,3.333333333,3.333333333,3.333333333,3.266666667,3.333333333,29.46839666,30,25,25,85.55839666,100,B
44,18.16,20,4.875,5,5,4.625,5,24.5,25,3.333333333,2.891566265,,3.333333333,3.086419753,,3.333333333,3.333333333,3.333333333,1.818181818,2.033333333,26.49616784,30,25,25,94.15616784,100,A
45,3.36,20,0,0,0,0,0,0,25,2.5,3.333333333,0,3.333333333,0,1.666666667,0,,,0,0,10.83333333,30,22.5,25,36.69333333,100,F
46,13,20,4.75,5,5,4.75,4.25,23.75,25,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,,,3.333333333,3.333333333,30,30,25,25,91.75,100,A-
47,15.2,20,0,2.5,0,0,0,2.5,25,2.5,0,0,3.076666667,0,0,0,,,0,0,5.576666667,30,23.75,25,47.02666667,100,F
48,3.76,20,0,0,0,0,0,0,25,3.333333333,0,0,0,0,0,0,,,0,0,3.333333333,30,18.75,25,25.84333333,100,F
49,18.93,20,5,5,5,4.375,3.5,22.875,25,3.333333333,3.262411348,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,,,3.333333333,3.333333333,29.92907801,30,25,25,96.73407801,100,A
50,13.64,20,3.5,5,5,4.25,4.25,22,25,3.333333333,3.04964539,3.333333333,3.141,3.209876543,3.333333333,0,,,2.5,3.333333333,25.23385527,30,25,25,85.87385527,100,B
51,14.96,20,5,5,5,4.5,4.5,24,25,3.333333333,3.191489362,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,,,3.333333333,3.333333333,29.85815603,30,25,25,93.81815603,100,A
52,10.2,20,4.5,5,5,4.25,4.25,23,25,3.333333333,1.276595745,2.766666667,2.233333333,3.333333333,0.566666667,3.333333333,,,3.333333333,3.333333333,23.50992908,30,25,25,81.70992908,100,B-
53,12.64,20,5,5,5,4.625,4.625,24.25,25,3.333333333,3.333333333,3.333333333,3.27,3.333333333,2.833333333,3.333333333,,,3.333333333,3.333333333,29.43666667,30,25,25,91.32666667,100,A-
54,15.2,20,4.5,5,5,4.75,4.5,23.75,25,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,,,3.333333333,3.333333333,30,30,25,25,93.95,100,A
55,15.76,20,5,5,5,4.5,4.25,23.75,25,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,,,3.333333333,3.266666667,29.93333333,30,23.75,25,93.19333333,100,A
56,11.52,20,4,5,5,3.5,3.5,21,25,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,,,3.333333333,3.333333333,30,30,25,25,87.52,100,B+
57,5.8,20,4.5,4.5,5,3.5,4.375,21.875,25,3.333333333,3.133333333,3.333333333,3.14,3.333333333,1.566666667,3.333333333,,,3.333333333,0,24.50666667,30,25,25,77.18166667,100,C+
58,16,20,5,5,5,4.5,4.625,24.125,25,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,,,3.333333333,3.333333333,30,30,25,25,95.125,100,A
59,14.4,20,5,5,5,4.5,4.25,23.75,25,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,,,3.333333333,3.333333333,30,30,25,25,93.15,100,A
60,18.28,20,5,5,5,0,0,15,25,2.5,2.340425532,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,,,3.333333333,3,27.84042553,30,25,25,86.12042553,100,B
61,18.04,20,5,5,5,4.75,4.75,24.5,25,3.333333333,2.19858156,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,,,3.333333333,3.333333333,28.86524823,30,25,25,96.40524823,100,A
62,14.64,20,5,4.5,5,3.75,4.5,22.75,25,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,,,3.333333333,3.333333333,30,30,25,25,92.39,100,A-
63,16.52,20,5,5,5,4.625,3.5,23.125,25,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,,,3.333333333,3.333333333,30,30,25,25,94.645,100,A
64,14.92,20,5,5,5,4.25,4.25,23.5,25,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,,,3.333333333,3.333333333,30,30,25,25,93.42,100,A
65,12.04,20,4.5,5,5,4.5,4.25,23.25,25,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,2.766666667,3.333333333,,,3.333333333,3.333333333,29.43333333,30,25,25,89.72333333,100,B+
66,18.76,20,5,5,5,4.75,4.5,24.25,25,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,,,3.333333333,3.333333333,30,30,25,25,98.01,100,A
67,14.12,20,5,5,5,4.5,4.75,24.25,25,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,,,3.333333333,3.333333333,30,30,25,25,93.37,100,A
68,0,20,0,0,0,0,0,0,25,3.333333333,0,0,0,0,0,0,,,0,0,3.333333333,30,6.25,25,9.583333333,100,F
69,15.12,20,3.5,4.5,5,4.25,4.25,21.5,25,3.333333333,1.277777778,3.333333333,2.766666667,2.592592593,3.333333333,3.333333333,,,3.333333333,3,26.3037037,30,23.75,25,86.6737037,100,B
70,13,20,4.375,4.5,5,4.6875,4,22.5625,25,0,1.913333333,3.333333333,2.626666667,3.333333333,2,2.233333333,,,1.333333333,3.333333333,20.10666667,30,23.75,25,79.41916667,100,C+
71,20,20,5,5,5,4.5625,4.75,24.3125,25,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,,,3.333333333,3.333333333,30,30,25,25,99.3125,100,A
72,0,20,0,0,0,0,0,0,25,3.333333333,0,0,1.666666667,0,0,0,,,0,0,5,30,22.5,25,27.5,100,F
73,17.96,20,5,5,5,4.75,4.875,24.625,25,3.333333333,2.340425532,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,,,3.333333333,3.133333333,28.8070922,30,25,25,96.3920922,100,A